ID_code,AC(v8.5),AH(v8.5),AT(v8.5)
B2_O_L2_ST_E_0.6_0.8_TS3,672.89,3601.75,4274.64
B2_O_L2_ST_E_0.6_1.0_TS2,664.68,3667.18,4331.86
B2_O_L2_ST_E_0.6_1.0_TS3,672.09,3639.85,4311.94
B2_O_L2_ST_S_0.2_0.8_TS2,680.63,3671.34,4351.97
B2_O_L2_ST_S_0.2_0.8_TS3,683.12,3678.85,4361.97
B2_O_L2_ST_S_0.2_1.0_TS2,678.71,3695.13,4373.84
B2_O_L2_ST_S_0.2_1.0_TS3,682.32,3693.06,4375.38
B2_O_L2_ST_S_0.6_0.8_TS2,673.16,3630.54,4303.7
B2_O_L2_ST_S_0.6_0.8_TS3,680.61,3639.3,4319.91
B2_O_L2_ST_S_0.6_1.0_TS2,672.61,3673.22,4345.83
B2_O_L2_ST_S_0.6_1.0_TS3,680.18,3679.24,4359.42
B2_O_L2_ST_W_0.2_0.8_TS2,670.72,3622.21,4292.93
B2_O_L2_ST_W_0.2_0.8_TS3,673.17,3616.97,4290.139999999999
B2_O_L2_ST_W_0.2_1.0_TS2,670.46,3636.6,4307.0599999999995
B2_O_L2_ST_W_0.2_1.0_TS3,672.34,3628.45,4300.79
B2_O_L2_ST_W_0.6_0.8_TS2,664.35,3601.59,4265.9400000000005
B2_O_L2_ST_W_0.6_0.8_TS3,670.21,3590.54,4260.75
B2_O_L2_ST_W_0.6_1.0_TS2,664.08,3651.7,4315.78
B2_O_L2_ST_W_0.6_1.0_TS3,670.1,3631.98,4302.08
B2_R_L1_Base_S_0.12_5.9_TS1,2741.13,955.12,3696.25
B2_R_L2_Base_S_0.12_5.9_TS1,733.14,5600.36,6333.5
B2_R_L1_DG_E_0.2_0.8_TS2,2444.78,844.39,3289.17
B2_R_L1_DG_E_0.2_0.8_TS3,2497.58,853.16,3350.74
B2_R_L1_DG_E_0.2_2.3_TS2,2593.95,830.51,3424.46
B2_R_L1_DG_E_0.2_2.3_TS3,2647.91,841.29,3489.2
B2_R_L1_DG_E_0.6_0.8_TS2,2722.05,778.97,3501.0200000000004
B2_R_L1_DG_E_0.6_0.8_TS3,2787.87,784.44,3572.31
B2_R_L1_DG_E_0.6_2.3_TS2,3184.42,753.16,3937.58
B2_R_L1_DG_E_0.6_2.3_TS3,3277.22,768.84,4046.06
B2_R_L1_DG_S_0.2_0.8_TS2,2595.03,937.11,3532.1400000000003
B2_R_L1_DG_S_0.2_0.8_TS3,2644.26,944.85,3589.11
B2_R_L1_DG_S_0.2_2.3_TS2,2705.72,914.52,3620.24
B2_R_L1_DG_S_0.2_2.3_TS3,2769.1,930.09,3699.19
B2_R_L1_DG_S_0.6_0.8_TS2,2834.2,854.05,3688.25
B2_R_L1_DG_S_0.6_0.8_TS3,2906.94,870.41,3777.35
B2_R_L1_DG_S_0.6_2.3_TS2,3170.24,818.54,3988.7799999999997
B2_R_L1_DG_S_0.6_2.3_TS3,3319.46,839.36,4158.82
B2_R_L1_DG_W_0.2_0.8_TS2,2564.38,830.03,3394.41
B2_R_L1_DG_W_0.2_0.8_TS3,2612.25,842.16,3454.41
B2_R_L1_DG_W_0.2_2.3_TS2,2633.86,830.32,3464.1800000000003
B2_R_L1_DG_W_0.2_2.3_TS3,2693.71,840.0,3533.71
B2_R_L1_DG_W_0.6_0.8_TS2,2737.03,777.39,3514.42
B2_R_L1_DG_W_0.6_0.8_TS3,2806.65,788.31,3594.96
B2_R_L1_DG_W_0.6_2.3_TS2,2918.22,763.58,3681.7999999999997
B2_R_L1_DG_W_0.6_2.3_TS3,3015.92,782.48,3798.4
B2_R_L2_DG_E_0.2_0.8_TS2,613.51,5462.02,6075.530000000001
B2_R_L2_DG_E_0.2_0.8_TS3,662.63,5417.49,6080.12
B2_R_L2_DG_E_0.2_1.0_TS2,611.37,5473.36,6084.73
B2_R_L2_DG_E_0.2_1.0_TS3,660.35,5429.73,6090.08
B2_R_L2_DG_E_0.6_0.8_TS2,760.42,5310.74,6071.16
B2_R_L2_DG_E_0.6_0.8_TS3,828.86,5272.14,6101.0
B2_R_L2_DG_E_0.6_1.0_TS2,750.9,5342.73,6093.629999999999
B2_R_L2_DG_E_0.6_1.0_TS3,818.86,5304.86,6123.719999999999
B2_R_L2_DG_S_0.2_0.8_TS2,664.16,5521.04,6185.2
B2_R_L2_DG_S_0.2_0.8_TS3,718.17,5476.54,6194.71
B2_R_L2_DG_S_0.2_1.0_TS2,661.97,5532.09,6194.06
B2_R_L2_DG_S_0.2_1.0_TS3,715.6,5487.6,6203.200000000001
B2_R_L2_DG_S_0.6_0.8_TS2,836.83,5261.25,6098.08
B2_R_L2_DG_S_0.6_0.8_TS3,908.82,5225.31,6134.13
B2_R_L2_DG_S_0.6_1.0_TS2,826.96,5294.7,6121.66
B2_R_L2_DG_S_0.6_1.0_TS3,897.85,5259.06,6156.910000000001
B2_R_L2_DG_W_0.2_0.8_TS2,633.98,5441.29,6075.27
B2_R_L2_DG_W_0.2_0.8_TS3,686.25,5396.24,6082.49
B2_R_L2_DG_W_0.2_1.0_TS2,632.47,5450.66,6083.13
B2_R_L2_DG_W_0.2_1.0_TS3,660.35,5429.73,6090.08
B2_R_L2_DG_W_0.6_0.8_TS2,751.88,5294.82,6046.7
B2_R_L2_DG_W_0.6_0.8_TS3,813.92,5257.92,6071.84
B2_R_L2_DG_W_0.6_1.0_TS2,743.38,5328.7,6072.08
B2_R_L2_DG_W_0.6_1.0_TS3,807.23,5290.8,6098.030000000001
