ID_code,AC(v22.2)
B2_O_L2_ST_S_0.6_1.0_TS3,678.2339616336291
B2_O_L2_ST_W_0.2_0.8_TS2,668.7456434521807
B2_O_L2_ST_W_0.2_0.8_TS3,670.9208715002594
B2_O_L2_ST_W_0.2_1.0_TS2,668.0906261867733
B2_O_L2_ST_W_0.2_1.0_TS3,670.3769022879003
B2_O_L2_ST_W_0.6_0.8_TS2,662.5133797034708
B2_O_L2_ST_W_0.6_0.8_TS3,668.2156293415221
B2_O_L2_ST_W_0.6_1.0_TS2,662.1888209706818
B2_O_L2_ST_W_0.6_1.0_TS3,668.3674931016086
B2_R_L2_ST_E_0.2_0.8_TS2,722.6610720695375
B2_R_L2_ST_E_0.2_0.8_TS3,731.8368761427001
B2_R_L2_ST_E_0.2_1.0_TS2,674.2216812183276
B2_R_L2_ST_E_0.2_1.0_TS3,684.4453203062766
B2_R_L2_ST_E_0.6_0.8_TS2,749.2249525335009
B2_R_L2_ST_E_0.6_0.8_TS3,766.7361938562282
B2_R_L2_ST_E_0.6_1.0_TS2,723.1578099876052
B2_R_L2_ST_E_0.6_1.0_TS3,747.8461685834901
B2_R_L2_ST_S_0.2_0.8_TS2,789.3276791104075
B2_R_L2_ST_S_0.2_0.8_TS3,799.7706616093126
B2_R_L2_ST_S_0.2_1.0_TS2,740.7141307738208
B2_R_L2_ST_S_0.2_1.0_TS3,752.6982167615249
B2_R_L2_ST_S_0.6_0.8_TS2,811.1760296855542
B2_R_L2_ST_S_0.6_0.8_TS3,834.6205579331643
B2_R_L2_ST_S_0.6_1.0_TS2,782.5426814980866
B2_R_L2_ST_S_0.6_1.0_TS3,811.7072710328704
B2_R_L2_ST_W_0.2_0.8_TS2,741.9546058680654
B2_R_L2_ST_W_0.2_0.8_TS3,750.433905701777
B2_R_L2_ST_W_0.2_1.0_TS2,704.3590123137749
B2_R_L2_ST_W_0.2_1.0_TS3,715.2710297401205
B2_R_L2_ST_W_0.6_0.8_TS2,757.7738674136717
B2_R_L2_ST_W_0.6_0.8_TS3,778.3274958916742
B2_R_L2_ST_W_0.6_1.0_TS2,733.7501759539362
B2_R_L2_ST_W_0.6_1.0_TS3,759.8233300149294
B2_O_L1_Base_S_0.12_5.9_TS1,2738.4078200788836
B2_R_L1_Base_S_0.12_5.9_TS1,2745.9617822240925
B2_O_L1_DG_E_0.2_0.8_TS2,2616.499691809862
B2_O_L1_DG_E_0.2_0.8_TS3,2641.4404720869334
B2_O_L1_DG_E_0.2_2.3_TS2,2663.7397827858754
B2_O_L1_DG_E_0.2_2.3_TS3,2686.4856787706076
B2_O_L1_DG_E_0.6_0.8_TS2,2772.7328755218473
B2_O_L1_DG_E_0.6_0.8_TS3,2785.168490515506
B2_O_L1_DG_E_0.6_2.3_TS2,2888.394858444049
B2_O_L1_DG_E_0.6_2.3_TS3,2887.8397066583925
B2_O_L1_DG_S_0.2_0.8_TS2,2660.9639228007945
B2_O_L1_DG_S_0.2_0.8_TS3,2682.4239995097473
B2_O_L1_DG_S_0.2_2.3_TS2,2693.1131239512747
B2_O_L1_DG_S_0.2_2.3_TS3,2709.8813099585514
B2_O_L1_DG_S_0.6_0.8_TS2,2772.618736194553
B2_O_L1_DG_S_0.6_0.8_TS3,2782.2603540389214
B2_O_L1_DG_S_0.6_2.3_TS2,2838.8747901300044
B2_O_L1_DG_S_0.6_2.3_TS3,2833.593076714506
B2_O_L1_DG_W_0.2_0.8_TS2,2617.8976473018233
B2_O_L1_DG_W_0.2_0.8_TS3,2639.0139476707586
B2_O_L1_DG_W_0.2_2.3_TS2,2656.81106324272
B2_O_L1_DG_W_0.2_2.3_TS3,2672.026199450058
B2_O_L1_DG_W_0.6_0.8_TS2,2729.0092594672215
B2_O_L1_DG_W_0.6_0.8_TS3,2739.2113578863573
B2_O_L1_DG_W_0.6_2.3_TS2,2833.5903970198424
B2_O_L1_DG_W_0.6_2.3_TS3,2815.8587952632224
B2_R_L1_DG_E_0.2_0.8_TS2,2446.860544567893
B2_R_L1_DG_E_0.2_0.8_TS3,2503.667851588357
B2_R_L1_DG_E_0.2_2.3_TS2,2597.0724363414233
B2_R_L1_DG_E_0.2_2.3_TS3,2650.519389195441
B2_R_L1_DG_E_0.6_0.8_TS2,2726.6464972193726
B2_R_L1_DG_E_0.6_0.8_TS3,2791.8691330654765
B2_R_L1_DG_E_0.6_2.3_TS2,3189.1029608244025
B2_R_L1_DG_E_0.6_2.3_TS3,3279.0747995683782
B2_R_L1_DG_S_0.2_0.8_TS2,2598.1951570300816
B2_R_L1_DG_S_0.2_0.8_TS3,2647.0836167121006
B2_R_L1_DG_S_0.2_2.3_TS2,2709.5751512494912
B2_R_L1_DG_S_0.2_2.3_TS3,2772.8057692021766
B2_R_L1_DG_S_0.6_0.8_TS2,2837.9748787240255
B2_R_L1_DG_S_0.6_0.8_TS3,2909.879269460574
B2_R_L1_DG_S_0.6_2.3_TS2,3172.8774750384746
B2_R_L1_DG_S_0.6_2.3_TS3,3321.9825270918013
B2_R_L1_DG_W_0.2_0.8_TS2,2565.823449481432
B2_R_L1_DG_W_0.2_0.8_TS3,2614.216664060414
B2_R_L1_DG_W_0.2_2.3_TS2,2635.8778692727074
B2_R_L1_DG_W_0.2_2.3_TS3,2695.884373142195
B2_R_L1_DG_W_0.6_0.8_TS2,2738.671366592735
B2_R_L1_DG_W_0.6_0.8_TS3,2808.8005579537635
B2_R_L1_DG_W_0.6_2.3_TS2,2921.1823572409257
B2_R_L1_DG_W_0.6_2.3_TS3,3018.6422273257917
B2_O_L1_DS_E_0.2_0.8_TS2,2830.431577249932
B2_O_L1_DS_E_0.2_2.3_TS2,2916.3060326344967
B2_O_L1_DS_E_0.6_0.8_TS2,3044.2641551670517
B2_O_L1_DS_E_0.6_2.3_TS2,3170.633451560225
B2_O_L1_DS_S_0.2_0.8_TS2,2938.291939662716
B2_O_L1_DS_S_0.2_2.3_TS2,3053.163662651513
B2_O_L1_DS_S_0.6_0.8_TS2,3118.7042692339987
B2_O_L1_DS_S_0.6_2.3_TS2,3253.409088743058
B2_O_L1_DS_W_0.2_0.8_TS2,2812.1812584128156
B2_O_L1_DS_W_0.2_2.3_TS2,2892.234986753751
B2_O_L1_DS_W_0.6_0.8_TS2,2982.7924551631477
B2_O_L1_DS_W_0.6_2.3_TS2,3104.280686366944
B2_R_L1_DS_E_0.2_0.8_TS2,2948.558652485413
B2_R_L1_DS_E_0.2_2.3_TS2,3346.2523904293853
B2_R_L1_DS_E_0.6_0.8_TS2,3354.7577916408604
B2_R_L1_DS_E_0.6_2.3_TS2,4174.304224540674
B2_R_L1_DS_S_0.2_0.8_TS2,3166.8996627110837
B2_R_L1_DS_S_0.2_2.3_TS2,3624.7261359178096
B2_R_L1_DS_S_0.6_0.8_TS2,3551.2170663821307
B2_R_L1_DS_S_0.6_2.3_TS2,4368.302936947541
B2_R_L1_DS_W_0.2_0.8_TS2,2949.3256781754344
B2_R_L1_DS_W_0.2_2.3_TS2,3215.008902809603
B2_R_L1_DS_W_0.6_0.8_TS2,3261.350124726633
B2_R_L1_DS_W_0.6_2.3_TS2,3741.1904856009764
B2_O_L1_MW_E_0.2_0.8_TS2,2791.1193633031444
B2_O_L1_MW_E_0.2_0.8_TS3,2758.7296203955625
B2_O_L1_MW_E_0.2_2.3_TS2,2779.939370339673
B2_O_L1_MW_E_0.2_2.3_TS3,2747.830605525081
B2_O_L1_MW_E_0.6_0.8_TS2,2952.6162914796923
B2_O_L1_MW_E_0.6_0.8_TS3,2852.9737659077014
B2_O_L1_MW_E_0.6_2.3_TS2,2926.9650231866344
B2_O_L1_MW_E_0.6_2.3_TS3,2830.4856091695024
B2_O_L1_MW_S_0.2_0.8_TS2,2825.80549937391
B2_O_L1_MW_S_0.2_0.8_TS3,2793.5577082790833
B2_O_L1_MW_S_0.2_2.3_TS2,2813.568483555251
B2_O_L1_MW_S_0.2_2.3_TS3,2782.433828555772
B2_O_L1_MW_S_0.6_0.8_TS2,2980.3657644151917
B2_O_L1_MW_S_0.6_0.8_TS3,2875.698067644588
B2_O_L1_MW_S_0.6_2.3_TS2,2943.5585800151093
B2_O_L1_MW_S_0.6_2.3_TS3,2846.8437111463113
B2_O_L1_MW_W_0.2_0.8_TS2,2783.047829035609
B2_O_L1_MW_W_0.2_0.8_TS3,2742.7227034487205
B2_O_L1_MW_W_0.2_2.3_TS2,2773.4268651626985
B2_O_L1_MW_W_0.2_2.3_TS3,2730.2919117452507
