ID_code,AC(v8.5_old_py),diff%_AC(v8.5_old_py),AH(v8.5_old_py),diff%_AH(v8.5_old_py),AT(v8.5_old_py),diff%_AT(v8.5_old_py),AC(v8.7),diff%_AC(v8.7),AH(v8.7),diff%_AH(v8.7),AT(v8.7),diff%_AT(v8.7),AC(v22.2),diff%_AC(v22.2),AH(v22.2),diff%_AH(v22.2),AT(v22.2),diff%_AT(v22.2),Delta_AC%_(v22.2-8.7_new),Delta_AH%_(v22.2-8.7_new),Delta_AT%_(v22.2-8.7_new)
B2_O_L1_MW_E_0.6_0.8_TS3,2852.3,4.23,808.28,-11.81,3660.58,0.21,2849.59,4.2,808.48,-11.72,3658.07,0.21,2852.97,4.18,803.4,-12.17,3656.37,0.09,0.12,-0.63,-0.05
B2_O_L1_MW_E_0.6_2.3_TS2,2926.6,6.95,831.63,-9.27,3758.23,2.88,2923.87,6.92,831.06,-9.25,3754.93,2.86,2926.96,6.89,826.89,-9.6,3753.85,2.76,0.11,-0.5,-0.03
B2_O_L1_MW_E_0.6_2.3_TS3,2829.67,3.4,838.81,-8.48,3668.48,0.42,2827.03,3.38,835.56,-8.76,3662.59,0.33,2830.48,3.36,832.6,-8.97,3663.08,0.27,0.12,-0.35,0.01
B2_O_L1_MW_S_0.2_0.8_TS2,2824.42,3.21,850.19,-7.24,3674.61,0.59,2822.48,3.21,851.97,-6.97,3674.45,0.66,2825.8,3.19,849.32,-7.15,3675.12,0.6,0.12,-0.31,0.02
B2_O_L1_MW_S_0.2_0.8_TS3,2792.07,2.03,869.91,-5.09,3661.98,0.24,2790.12,2.03,870.79,-4.92,3660.91,0.29,2793.55,2.01,868.28,-5.07,3661.83,0.24,0.12,-0.29,0.03
B2_O_L1_MW_S_0.2_2.3_TS2,2811.68,2.75,868.24,-5.27,3679.92,0.73,2809.71,2.75,867.72,-5.25,3677.4300000000003,0.74,2813.56,2.74,863.19,-5.63,3676.75,0.65,0.14,-0.52,-0.02
B2_O_L1_MW_S_0.2_2.3_TS3,2780.47,1.61,878.9,-4.11,3659.37,0.17,2778.6,1.61,882.52,-3.64,3661.12,0.29,2782.43,1.61,879.54,-3.84,3661.97,0.24,0.14,-0.34,0.02
B2_O_L1_MW_S_0.6_0.8_TS2,2979.51,8.88,779.74,-14.93,3759.25,2.91,2977.29,8.87,779.18,-14.92,3756.47,2.91,2980.36,8.84,779.53,-14.78,3759.89,2.92,0.1,0.04,0.09
B2_O_L1_MW_S_0.6_0.8_TS3,2875.06,5.06,821.04,-10.42,3696.1,1.18,2872.82,5.05,821.85,-10.26,3694.67,1.21,2875.69,5.01,819.88,-10.37,3695.57,1.16,0.1,-0.24,0.02
B2_O_L1_MW_S_0.6_2.3_TS2,2942.36,7.52,811.13,-11.5,3753.4900000000002,2.75,2940.34,7.52,808.66,-11.7,3749.0,2.7,2943.55,7.49,806.87,-11.79,3750.42,2.66,0.11,-0.22,0.04
B2_O_L1_MW_S_0.6_2.3_TS3,2845.41,3.98,848.77,-7.4,3694.18,1.12,2843.28,3.97,848.62,-7.34,3691.9,1.14,2846.84,3.96,846.5,-7.45,3693.34,1.1,0.13,-0.25,0.04
B2_O_L1_MW_W_0.2_0.8_TS2,2781.76,1.65,822.8,-10.23,3604.5600000000004,-1.33,2779.83,1.65,823.63,-10.07,3603.46,-1.29,2783.04,1.63,821.41,-10.2,3604.45,-1.33,0.12,-0.27,0.03
B2_O_L1_MW_W_0.2_0.8_TS3,2741.07,0.17,828.0,-9.66,3569.07,-2.3,2739.09,0.16,828.31,-9.55,3567.4,-2.27,2742.71,0.16,828.23,-9.45,3570.94,-2.25,0.13,-0.01,0.1
B2_O_L1_MW_W_0.2_2.3_TS2,2771.84,1.29,839.3,-8.43,3611.1400000000003,-1.15,2769.9,1.29,837.94,-8.5,3607.84,-1.17,2773.42,1.28,835.66,-8.64,3609.08,-1.21,0.13,-0.27,0.03
B2_O_L1_MW_W_0.2_2.3_TS3,2728.46,-0.29,843.81,-7.94,3572.27,-2.21,2726.46,-0.3,843.43,-7.9,3569.89,-2.21,2730.28,-0.3,840.71,-8.09,3570.99,-2.25,0.14,-0.32,0.03
B2_O_L1_MW_W_0.6_0.8_TS2,2937.56,7.35,765.82,-16.45,3703.38,1.38,2935.51,7.35,763.05,-16.68,3698.5600000000004,1.32,2938.49,7.31,764.42,-16.43,3702.91,1.36,0.1,0.18,0.12
B2_O_L1_MW_W_0.6_0.8_TS3,2818.27,2.99,786.03,-14.24,3604.3,-1.34,2815.81,2.97,786.78,-14.09,3602.59,-1.31,2818.93,2.94,787.25,-13.93,3606.18,-1.28,0.11,0.06,0.1
B2_O_L1_MW_W_0.6_2.3_TS2,2902.05,6.05,806.92,-11.96,3708.9700000000003,1.53,2900.1,6.05,805.39,-12.06,3705.49,1.51,2903.19,6.02,799.5,-12.59,3702.69,1.36,0.11,-0.73,-0.08
B2_O_L1_MW_W_0.6_2.3_TS3,2784.92,1.77,820.62,-10.47,3605.54,-1.3,2782.6,1.75,821.18,-10.33,3603.7799999999997,-1.28,2786.18,1.74,816.51,-10.73,3602.69,-1.38,0.13,-0.57,-0.03
B2_O_L2_MW_E_0.2_0.8_TS2,704.49,3.08,3711.53,-1.89,4416.02,-1.13,702.84,3.09,3714.69,-1.74,4417.53,-1.0,702.05,3.07,3722.0,-1.94,4424.05,-1.18,-0.11,0.2,0.15
B2_O_L2_MW_E_0.2_0.8_TS3,693.54,1.48,3702.69,-2.13,4396.23,-1.58,691.87,1.48,3699.52,-2.14,4391.39,-1.59,691.09,1.46,3710.52,-2.25,4401.61,-1.68,-0.11,0.3,0.23
B2_O_L2_MW_E_0.2_1.0_TS2,704.71,3.11,3732.15,-1.35,4436.860000000001,-0.67,703.05,3.12,3725.44,-1.45,4428.49,-0.76,702.35,3.11,3736.13,-1.57,4438.48,-0.86,-0.1,0.29,0.23
