ID_code,AT(v22.2)
B2_O_L1_DG_W_0.2_0.8_TS2,3476.157049175953
B2_O_L1_DG_W_0.2_0.8_TS3,3485.92990461943
B2_O_L1_DG_W_0.2_2.3_TS2,3507.521740813715
B2_O_L1_DG_W_0.2_2.3_TS3,3507.3087988038856
B2_O_L1_DG_W_0.6_0.8_TS2,3511.7860687018897
B2_O_L1_DG_W_0.6_0.8_TS3,3511.0518367504274
B2_O_L1_DG_W_0.6_2.3_TS2,3596.282284453343
B2_O_L1_DG_W_0.6_2.3_TS3,3570.4831886395496
B2_R_L1_DG_E_0.2_0.8_TS2,3273.5342917153694
B2_R_L1_DG_E_0.2_0.8_TS3,3340.3549372020525
B2_R_L1_DG_E_0.2_2.3_TS2,3410.8205436651288
B2_R_L1_DG_E_0.2_2.3_TS3,3474.4993692439093
B2_R_L1_DG_E_0.6_0.8_TS2,3492.7207698587317
B2_R_L1_DG_E_0.6_0.8_TS3,3559.910836762014
B2_R_L1_DG_E_0.6_2.3_TS2,3933.037897415533
B2_R_L1_DG_E_0.6_2.3_TS3,4033.1974954476023
B2_R_L1_DG_S_0.2_0.8_TS2,3516.5225906087944
B2_R_L1_DG_S_0.2_0.8_TS3,3585.048249407492
B2_R_L1_DG_S_0.2_2.3_TS2,3611.037209191428
B2_R_L1_DG_S_0.2_2.3_TS3,3685.242915192549
B2_R_L1_DG_S_0.6_0.8_TS2,3684.535440950917
B2_R_L1_DG_S_0.6_0.8_TS3,3769.7458228209507
B2_R_L1_DG_S_0.6_2.3_TS2,3979.8147780334803
B2_R_L1_DG_S_0.6_2.3_TS3,4151.10883917668
B2_R_L1_DG_W_0.2_0.8_TS2,3382.3800822140356
B2_R_L1_DG_W_0.2_0.8_TS3,3441.567222817811
B2_R_L1_DG_W_0.2_2.3_TS2,3451.1144810662267
B2_R_L1_DG_W_0.2_2.3_TS3,3517.352413716541
B2_R_L1_DG_W_0.6_0.8_TS2,3504.402819147745
B2_R_L1_DG_W_0.6_0.8_TS3,3586.2665738772926
B2_R_L1_DG_W_0.6_2.3_TS2,3672.8493239924132
B2_R_L1_DG_W_0.6_2.3_TS3,3791.348249031758
B2_O_L1_DS_E_0.2_0.8_TS2,3594.5412190602424
B2_O_L1_DS_E_0.2_2.3_TS2,3652.1279469659316
B2_O_L1_DS_E_0.6_0.8_TS2,3731.1585984158037
B2_O_L1_DS_E_0.6_2.3_TS2,3827.866216859882
B2_O_L1_DS_S_0.2_0.8_TS2,3712.564007420328
B2_O_L1_DS_S_0.2_2.3_TS2,3799.2778216372085
B2_O_L1_DS_S_0.6_0.8_TS2,3804.7796328964223
B2_O_L1_DS_S_0.6_2.3_TS2,3899.5196447867756
B2_O_L1_DS_W_0.2_0.8_TS2,3548.5458494323098
B2_O_L1_DS_W_0.2_2.3_TS2,3608.256345393377
B2_O_L1_DS_W_0.6_0.8_TS2,3655.569386509842
B2_O_L1_DS_W_0.6_2.3_TS2,3751.165606426791
B2_R_L1_DS_E_0.2_0.8_TS2,3693.175470246291
B2_R_L1_DS_E_0.2_2.3_TS2,4077.2129035789903
B2_R_L1_DS_E_0.6_0.8_TS2,4065.134741785658
B2_R_L1_DS_E_0.6_2.3_TS2,4866.1661702250985
B2_R_L1_DS_S_0.2_0.8_TS2,4027.0760244106486
B2_R_L1_DS_S_0.2_2.3_TS2,4462.797368387808
B2_R_L1_DS_S_0.6_0.8_TS2,4366.611600788767
B2_R_L1_DS_S_0.6_2.3_TS2,5156.222899689373
B2_R_L1_DS_W_0.2_0.8_TS2,3696.3876520841677
B2_R_L1_DS_W_0.2_2.3_TS2,3949.443368333649
B2_R_L1_DS_W_0.6_0.8_TS2,3978.159467761457
B2_R_L1_DS_W_0.6_2.3_TS2,4445.713372355815
B2_O_L1_MW_E_0.2_0.8_TS2,3644.076703220139
B2_O_L1_MW_E_0.2_0.8_TS3,3614.5923898698384
B2_O_L1_MW_E_0.2_2.3_TS2,3646.870744269439
B2_O_L1_MW_E_0.2_2.3_TS3,3615.4118537430595
B2_O_L1_MW_E_0.6_0.8_TS2,3740.3397678315846
B2_O_L1_MW_E_0.6_0.8_TS3,3656.3727195294246
B2_O_L1_MW_E_0.6_2.3_TS2,3753.852215425273
B2_O_L1_MW_E_0.6_2.3_TS3,3663.08592992529
B2_O_L1_MW_S_0.2_0.8_TS2,3675.1202543910435
B2_O_L1_MW_S_0.2_0.8_TS3,3661.831833307969
B2_O_L1_MW_S_0.2_2.3_TS2,3676.7595207761933
B2_O_L1_MW_S_0.2_2.3_TS3,3661.972001559224
B2_O_L1_MW_S_0.6_0.8_TS2,3759.888513264785
B2_O_L1_MW_S_0.6_0.8_TS3,3695.5706384134673
B2_O_L1_MW_S_0.6_2.3_TS2,3750.423501438047
B2_O_L1_MW_S_0.6_2.3_TS3,3693.3395872940073
B2_O_L1_MW_W_0.2_0.8_TS2,3604.4582188132827
B2_O_L1_MW_W_0.2_0.8_TS3,3570.9436616742637
B2_O_L1_MW_W_0.2_2.3_TS2,3609.087972500635
B2_O_L1_MW_W_0.2_2.3_TS3,3571.002308866149
B2_O_L1_MW_W_0.6_0.8_TS2,3702.9209651217225
B2_O_L1_MW_W_0.6_0.8_TS3,3606.1882753072296
B2_O_L1_MW_W_0.6_2.3_TS2,3702.694383229531
B2_O_L1_MW_W_0.6_2.3_TS3,3602.6969298029094
B2_R_L1_MW_E_0.2_0.8_TS2,3602.574750769726
B2_R_L1_MW_E_0.2_0.8_TS3,3602.6067418546263
B2_R_L1_MW_E_0.2_2.3_TS2,3580.559037502562
B2_R_L1_MW_E_0.2_2.3_TS3,3567.5548955193026
B2_R_L1_MW_E_0.6_0.8_TS2,3801.179475917716
B2_R_L1_MW_E_0.6_0.8_TS3,3741.637005362031
B2_R_L1_MW_E_0.6_2.3_TS2,3743.542956892762
B2_R_L1_MW_E_0.6_2.3_TS3,3678.328430266093
B2_R_L1_MW_S_0.2_0.8_TS2,3831.1224619240115
B2_R_L1_MW_S_0.2_0.8_TS3,3787.6493265810604
B2_R_L1_MW_S_0.2_2.3_TS2,3830.49720626507
B2_R_L1_MW_S_0.2_2.3_TS3,3816.7300313582173
B2_R_L1_MW_S_0.6_0.8_TS2,4011.404759626193
B2_R_L1_MW_S_0.6_0.8_TS3,3911.6670248485266
B2_R_L1_MW_S_0.6_2.3_TS2,3985.6957971903053
B2_R_L1_MW_S_0.6_2.3_TS3,3919.688422610533
B2_R_L1_MW_W_0.2_0.8_TS2,3688.395678418522
