ID_code,AH(v22.2)
B2_R_L2_ST_E_0.2_1.0_TS2,5535.633233594131
B2_R_L2_ST_E_0.2_1.0_TS3,5521.693586822249
B2_R_L2_ST_E_0.6_0.8_TS2,5386.857547862794
B2_R_L2_ST_E_0.6_0.8_TS3,5371.641611218826
B2_R_L2_ST_E_0.6_1.0_TS2,5546.442778605694
B2_R_L2_ST_E_0.6_1.0_TS3,5524.47627903351
B2_R_L2_ST_S_0.2_0.8_TS2,5460.9456425036715
B2_R_L2_ST_S_0.2_0.8_TS3,5450.910353339182
B2_R_L2_ST_S_0.2_1.0_TS2,5601.521068840756
B2_R_L2_ST_S_0.2_1.0_TS3,5589.1493245642605
B2_R_L2_ST_S_0.6_0.8_TS2,5320.258327659854
B2_R_L2_ST_S_0.6_0.8_TS3,5326.233912648648
B2_R_L2_ST_S_0.6_1.0_TS2,5513.24268849599
B2_R_L2_ST_S_0.6_1.0_TS3,5503.783104053149
B2_R_L2_ST_W_0.2_0.8_TS2,5402.27639963905
B2_R_L2_ST_W_0.2_0.8_TS3,5393.298620314654
B2_R_L2_ST_W_0.2_1.0_TS2,5509.092046308231
B2_R_L2_ST_W_0.2_1.0_TS3,5497.428454353778
B2_R_L2_ST_W_0.6_0.8_TS2,5374.804158493753
B2_R_L2_ST_W_0.6_0.8_TS3,5369.734729736032
B2_R_L2_ST_W_0.6_1.0_TS2,5536.5960653338825
B2_R_L2_ST_W_0.6_1.0_TS3,5521.010226372793
B2_O_L1_Base_S_0.12_5.9_TS1,914.6938657470354
B2_R_L1_Base_S_0.12_5.9_TS1,940.3674858020262
B2_O_L1_DG_E_0.2_0.8_TS2,889.8674947223709
B2_O_L1_DG_E_0.2_0.8_TS3,875.0687068483459
B2_O_L1_DG_E_0.2_2.3_TS2,879.2128628811856
B2_O_L1_DG_E_0.2_2.3_TS3,859.2654767094042
B2_O_L1_DG_E_0.6_0.8_TS2,811.1312120035007
B2_O_L1_DG_E_0.6_0.8_TS3,797.1857776162401
B2_O_L1_DG_E_0.6_2.3_TS2,780.3737035409537
B2_O_L1_DG_E_0.6_2.3_TS3,758.9805689879777
B2_O_L1_DG_S_0.2_0.8_TS2,909.9650216920999
B2_O_L1_DG_S_0.2_0.8_TS3,896.6819834425136
B2_O_L1_DG_S_0.2_2.3_TS2,882.2944451684762
B2_O_L1_DG_S_0.2_2.3_TS3,866.7702006572982
B2_O_L1_DG_S_0.6_0.8_TS2,784.5563784003679
B2_O_L1_DG_S_0.6_0.8_TS3,777.1739784633717
B2_O_L1_DG_S_0.6_2.3_TS2,721.7938149349383
B2_O_L1_DG_S_0.6_2.3_TS3,722.5488659842698
B2_O_L1_DG_W_0.2_0.8_TS2,858.2594018741299
B2_O_L1_DG_W_0.2_0.8_TS3,846.9159569486714
B2_O_L1_DG_W_0.2_2.3_TS2,850.7106775709951
B2_O_L1_DG_W_0.2_2.3_TS3,835.2825993538278
B2_O_L1_DG_W_0.6_0.8_TS2,782.7768092346683
B2_O_L1_DG_W_0.6_0.8_TS3,771.8404788640698
B2_O_L1_DG_W_0.6_2.3_TS2,762.6918874335004
B2_O_L1_DG_W_0.6_2.3_TS3,754.6243933763274
B2_R_L1_DG_E_0.2_0.8_TS2,826.6737471474761
B2_R_L1_DG_E_0.2_0.8_TS3,836.6870856136956
B2_R_L1_DG_E_0.2_2.3_TS2,813.7481073237052
B2_R_L1_DG_E_0.2_2.3_TS3,823.9799800484682
B2_R_L1_DG_E_0.6_0.8_TS2,766.0742726393592
B2_R_L1_DG_E_0.6_0.8_TS3,768.0417036965371
B2_R_L1_DG_E_0.6_2.3_TS2,743.9349365911302
B2_R_L1_DG_E_0.6_2.3_TS3,754.1226958792241
B2_R_L1_DG_S_0.2_0.8_TS2,918.3274335787128
B2_R_L1_DG_S_0.2_0.8_TS3,937.9646326953916
B2_R_L1_DG_S_0.2_2.3_TS2,901.4620579419367
B2_R_L1_DG_S_0.2_2.3_TS3,912.4371459903724
B2_R_L1_DG_S_0.6_0.8_TS2,846.5605622268913
B2_R_L1_DG_S_0.6_0.8_TS3,859.8665533603768
B2_R_L1_DG_S_0.6_2.3_TS2,806.9373029950058
B2_R_L1_DG_S_0.6_2.3_TS3,829.1263120848784
B2_R_L1_DG_W_0.2_0.8_TS2,816.5566327326038
B2_R_L1_DG_W_0.2_0.8_TS3,827.3505587573969
B2_R_L1_DG_W_0.2_2.3_TS2,815.2366117935195
B2_R_L1_DG_W_0.2_2.3_TS3,821.468040574346
B2_R_L1_DG_W_0.6_0.8_TS2,765.7314525550099
B2_R_L1_DG_W_0.6_0.8_TS3,777.466015923529
B2_R_L1_DG_W_0.6_2.3_TS2,751.6669667514875
B2_R_L1_DG_W_0.6_2.3_TS3,772.706021705966
B2_O_L1_DS_E_0.2_0.8_TS2,764.1096418103102
B2_O_L1_DS_E_0.2_2.3_TS2,735.8219143314349
B2_O_L1_DS_E_0.6_0.8_TS2,686.8944432487518
B2_O_L1_DS_E_0.6_2.3_TS2,657.2327652996572
B2_O_L1_DS_S_0.2_0.8_TS2,774.2720677576123
B2_O_L1_DS_S_0.2_2.3_TS2,746.1141589856958
B2_O_L1_DS_S_0.6_0.8_TS2,686.0753636624237
B2_O_L1_DS_S_0.6_2.3_TS2,646.1105560437178
B2_O_L1_DS_W_0.2_0.8_TS2,736.3645910194941
B2_O_L1_DS_W_0.2_2.3_TS2,716.0213586396261
B2_O_L1_DS_W_0.6_0.8_TS2,672.7769313466945
B2_O_L1_DS_W_0.6_2.3_TS2,646.884920059847
B2_R_L1_DS_E_0.2_0.8_TS2,744.616817760878
B2_R_L1_DS_E_0.2_2.3_TS2,730.9605131496052
B2_R_L1_DS_E_0.6_0.8_TS2,710.3769501447977
B2_R_L1_DS_E_0.6_2.3_TS2,691.861945684424
B2_R_L1_DS_S_0.2_0.8_TS2,860.1763616995648
B2_R_L1_DS_S_0.2_2.3_TS2,838.0712324699984
B2_R_L1_DS_S_0.6_0.8_TS2,815.3945344066362
B2_R_L1_DS_S_0.6_2.3_TS2,787.9199627418323
B2_R_L1_DS_W_0.2_0.8_TS2,747.0619739087335
B2_R_L1_DS_W_0.2_2.3_TS2,734.4344655240455
B2_R_L1_DS_W_0.6_0.8_TS2,716.8093430348241
B2_R_L1_DS_W_0.6_2.3_TS2,704.5228867548389
B2_O_L1_MW_E_0.2_0.8_TS2,852.9573399169946
B2_O_L1_MW_E_0.2_0.8_TS3,855.8627694742761
B2_O_L1_MW_E_0.2_2.3_TS2,866.931373929766
B2_O_L1_MW_E_0.2_2.3_TS3,867.5812482179784
B2_O_L1_MW_E_0.6_0.8_TS2,787.7234763518924
