,value_heat,Heating,value_cool,Cooling,Total_consumption
334,799.2504464564556,B2_R_L1_ST_W_0.2_2.3_TS2,2872.682883967461,B2_R_L1_ST_W_0.2_2.3_TS2,3671.9333304239162
218,751.6669667514875,B2_R_L1_DG_W_0.6_2.3_TS2,2921.1823572409257,B2_R_L1_DG_W_0.6_2.3_TS2,3672.8493239924132
252,849.3147550171336,B2_O_L1_MW_S_0.2_0.8_TS2,2825.80549937391,B2_O_L1_MW_S_0.2_0.8_TS2,3675.120254391044
254,863.1910372209421,B2_O_L1_MW_S_0.2_2.3_TS2,2813.568483555251,B2_O_L1_MW_S_0.2_2.3_TS2,3676.7595207761933
275,793.3513368683905,B2_R_L1_MW_E_0.6_2.3_TS3,2884.9770933977024,B2_R_L1_MW_E_0.6_2.3_TS3,3678.328430266093
208,846.5605622268913,B2_R_L1_DG_S_0.6_0.8_TS2,2837.9748787240255,B2_R_L1_DG_S_0.6_0.8_TS2,3684.535440950917
207,912.4371459903724,B2_R_L1_DG_S_0.2_2.3_TS3,2772.8057692021766,B2_R_L1_DG_S_0.2_2.3_TS3,3685.242915192549
171,940.3674858020262,B2_R_L1_Base_S_0.12_5.9_TS1,2745.9617822240925,B2_R_L1_Base_S_0.12_5.9_TS1,3686.329268026119
284,804.6124045803078,B2_R_L1_MW_W_0.2_0.8_TS2,2883.7832738382144,B2_R_L1_MW_W_0.2_0.8_TS2,3688.395678418522
335,798.4401885495304,B2_R_L1_ST_W_0.2_2.3_TS3,2892.236135135211,B2_R_L1_ST_W_0.2_2.3_TS3,3690.6763236847414
338,782.0241063035731,B2_R_L1_ST_W_0.6_2.3_TS2,2911.1636452077023,B2_R_L1_ST_W_0.6_2.3_TS2,3693.1877515112756
259,846.4958761476962,B2_O_L1_MW_S_0.6_2.3_TS3,2846.8437111463113,B2_O_L1_MW_S_0.6_2.3_TS3,3693.3395872940073
257,819.8725707688795,B2_O_L1_MW_S_0.6_0.8_TS3,2875.698067644588,B2_O_L1_MW_S_0.6_0.8_TS3,3695.5706384134673
286,815.943796826719,B2_R_L1_MW_W_0.2_2.3_TS2,2886.6564618542543,B2_R_L1_MW_W_0.2_2.3_TS2,3702.600258680973
266,799.4964200460611,B2_O_L1_MW_W_0.6_2.3_TS2,2903.1979631834697,B2_O_L1_MW_W_0.6_2.3_TS2,3702.694383229531
264,764.4238508536357,B2_O_L1_MW_W_0.6_0.8_TS2,2938.497114268087,B2_O_L1_MW_W_0.6_0.8_TS2,3702.9209651217225
337,729.8027263411161,B2_R_L1_ST_W_0.6_0.8_TS3,2976.8746031320143,B2_R_L1_ST_W_0.6_0.8_TS3,3706.67732947313
248,787.7234763518924,B2_O_L1_MW_E_0.6_0.8_TS2,2952.6162914796923,B2_O_L1_MW_E_0.6_0.8_TS2,3740.3397678315846
273,768.3337731914304,B2_R_L1_MW_E_0.6_0.8_TS3,2973.3032321706005,B2_R_L1_MW_E_0.6_0.8_TS3,3741.637005362031
274,784.0904399017498,B2_R_L1_MW_E_0.6_2.3_TS2,2959.452516991012,B2_R_L1_MW_E_0.6_2.3_TS2,3743.542956892762
258,806.8649214229378,B2_O_L1_MW_S_0.6_2.3_TS2,2943.5585800151093,B2_O_L1_MW_S_0.6_2.3_TS2,3750.423501438047
339,794.0336530568987,B2_R_L1_ST_W_0.6_2.3_TS3,2957.5105682980043,B2_R_L1_ST_W_0.6_2.3_TS3,3751.544221354903
250,826.8871922386384,B2_O_L1_MW_E_0.6_2.3_TS2,2926.9650231866344,B2_O_L1_MW_E_0.6_2.3_TS2,3753.852215425273
256,779.5227488495935,B2_O_L1_MW_S_0.6_0.8_TS2,2980.3657644151917,B2_O_L1_MW_S_0.6_0.8_TS2,3759.888513264785
209,859.8665533603768,B2_R_L1_DG_S_0.6_0.8_TS3,2909.879269460574,B2_R_L1_DG_S_0.6_0.8_TS3,3769.7458228209507
289,771.3207051086044,B2_R_L1_MW_W_0.6_0.8_TS3,3004.611244523246,B2_R_L1_MW_W_0.6_0.8_TS3,3775.9319496318503
277,907.0176691881418,B2_R_L1_MW_S_0.2_0.8_TS3,2880.6316573929184,B2_R_L1_MW_S_0.2_0.8_TS3,3787.6493265810604
291,797.0679712851586,B2_R_L1_MW_W_0.6_2.3_TS3,2991.8260305370427,B2_R_L1_MW_W_0.6_2.3_TS3,3788.894001822201
219,772.706021705966,B2_R_L1_DG_W_0.6_2.3_TS3,3018.6422273257917,B2_R_L1_DG_W_0.6_2.3_TS3,3791.348249031758
324,858.1936640862976,B2_R_L1_ST_S_0.2_0.8_TS2,2942.7376536738257,B2_R_L1_ST_S_0.2_0.8_TS2,3800.9313177601234
272,750.2017719668721,B2_R_L1_MW_E_0.6_0.8_TS2,3050.977703950844,B2_R_L1_MW_E_0.6_0.8_TS2,3801.179475917716
279,915.9055513027886,B2_R_L1_MW_S_0.2_2.3_TS3,2900.824480055429,B2_R_L1_MW_S_0.2_2.3_TS3,3816.7300313582173
325,865.2232618119762,B2_R_L1_ST_S_0.2_0.8_TS3,2955.4020157325604,B2_R_L1_ST_S_0.2_0.8_TS3,3820.6252775445364
278,903.1498547743499,B2_R_L1_MW_S_0.2_2.3_TS2,2927.34735149072,B2_R_L1_MW_S_0.2_2.3_TS2,3830.49720626507
276,895.3861340637177,B2_R_L1_MW_S_0.2_0.8_TS2,2935.736327860294,B2_R_L1_MW_S_0.2_0.8_TS2,3831.1224619240115
326,904.024805130448,B2_R_L1_ST_S_0.2_2.3_TS2,2934.3605958679555,B2_R_L1_ST_S_0.2_2.3_TS2,3838.3854009984034
330,860.7847232243669,B2_R_L1_ST_S_0.6_2.3_TS2,2979.749534472113,B2_R_L1_ST_S_0.6_2.3_TS2,3840.5342576964795
328,831.9827142627598,B2_R_L1_ST_S_0.6_0.8_TS2,3012.884948450487,B2_R_L1_ST_S_0.6_0.8_TS2,3844.8676627132472
327,902.8872494243101,B2_R_L1_ST_S_0.2_2.3_TS3,2955.6475323210934,B2_R_L1_ST_S_0.2_2.3_TS3,3858.5347817454035
290,783.6058396071433,B2_R_L1_MW_W_0.6_2.3_TS2,3084.870885216776,B2_R_L1_MW_W_0.6_2.3_TS2,3868.4767248239195
288,754.1528870058658,B2_R_L1_MW_W_0.6_0.8_TS2,3120.612057993945,B2_R_L1_MW_W_0.6_0.8_TS2,3874.7649449998107
329,842.4794594003216,B2_R_L1_ST_S_0.6_0.8_TS3,3041.375874308955,B2_R_L1_ST_S_0.6_0.8_TS3,3883.8553337092767
281,872.1749081804438,B2_R_L1_MW_S_0.6_0.8_TS3,3039.492116668083,B2_R_L1_MW_S_0.6_0.8_TS3,3911.6670248485266
331,888.0749987314786,B2_R_L1_ST_S_0.6_2.3_TS3,3028.743189118576,B2_R_L1_ST_S_0.6_2.3_TS3,3916.8181878500545
283,893.92746104408,B2_R_L1_MW_S_0.6_2.3_TS3,3025.7609615664533,B2_R_L1_MW_S_0.6_2.3_TS3,3919.688422610533
202,743.9349365911302,B2_R_L1_DG_E_0.6_2.3_TS2,3189.1029608244025,B2_R_L1_DG_E_0.6_2.3_TS2,3933.037897415533
210,806.9373029950058,B2_R_L1_DG_S_0.6_2.3_TS2,3172.8774750384746,B2_R_L1_DG_S_0.6_2.3_TS2,3979.8147780334803
282,860.5465398841188,B2_R_L1_MW_S_0.6_2.3_TS2,3125.1492573061864,B2_R_L1_MW_S_0.6_2.3_TS2,3985.6957971903053
280,843.5220734759033,B2_R_L1_MW_S_0.6_0.8_TS2,3167.88268615029,B2_R_L1_MW_S_0.6_0.8_TS2,4011.404759626193
203,754.1226958792241,B2_R_L1_DG_E_0.6_2.3_TS3,3279.0747995683782,B2_R_L1_DG_E_0.6_2.3_TS3,4033.1974954476023
15,3385.5074840113516,B2_O_L2_DG_S_0.6_0.8_TS3,747.4700436547705,B2_O_L2_DG_S_0.6_0.8_TS3,4132.977527666122
23,3432.476220672383,B2_O_L2_DG_W_0.6_0.8_TS3,715.4683557273028,B2_O_L2_DG_W_0.6_0.8_TS3,4147.9445763996855
211,829.1263120848784,B2_R_L1_DG_S_0.6_2.3_TS3,3321.9825270918013,B2_R_L1_DG_S_0.6_2.3_TS3,4151.10883917668
17,3408.9715453807516,B2_O_L2_DG_S_0.6_1.0_TS3,742.8180777804965,B2_O_L2_DG_S_0.6_1.0_TS3,4151.7896231612485
25,3460.0683955962695,B2_O_L2_DG_W_0.6_1.0_TS3,712.9383649749903,B2_O_L2_DG_W_0.6_1.0_TS3,4173.00676057126
7,3443.2706059397433,B2_O_L2_DG_E_0.6_0.8_TS3,731.1199983914728,B2_O_L2_DG_E_0.6_0.8_TS3,4174.390604331216
9,3469.0629738523903,B2_O_L2_DG_E_0.6_1.0_TS3,726.9607595451026,B2_O_L2_DG_E_0.6_1.0_TS3,4196.023733397493
60,3562.148452575288,B2_O_L2_DS_W_0.6_0.8_TS2,664.6171081586392,B2_O_L2_DS_W_0.6_0.8_TS2,4226.7655607339275
61,3562.2453915505084,B2_O_L2_DS_W_0.6_1.0_TS2,665.4759164644038,B2_O_L2_DS_W_0.6_1.0_TS2,4227.721308014912
14,3516.9956855136297,B2_O_L2_DG_S_0.6_0.8_TS2,715.926783987702,B2_O_L2_DG_S_0.6_0.8_TS2,4232.922469501332
