ID_code,AC(v8.5),diff%_AC(v8.5),AH(v8.5),diff%_AH(v8.5),AT(v8.5),diff%_AT(v8.5),AC(v8.7),diff%_AC(v8.7),AH(v8.7),diff%_AH(v8.7),AT(v8.7),diff%_AT(v8.7),AC(v22.2),diff%_AC(v22.2),AH(v22.2),diff%_AH(v22.2),AT(v22.2),diff%_AT(v22.2),DeltaAC%(v8.7-22.2),DeltaAH%(v8.7-22.2),DeltaAT%(v8.7-22.2)
B2_O_L2_DG_E_0.6_1.0_TS3,730.3,6.86,3462.53,-8.48,4192.83,-6.13,728.35,6.83,3464.73,-8.35,4193.08,-6.03,726.96,6.73,3469.06,-8.61,4196.02,-6.27,-0.19,0.12,0.07
B2_O_L2_DG_S_0.2_0.8_TS2,652.48,-4.53,3781.83,-0.04,4434.31,-0.72,650.64,-4.57,3781.08,0.02,4431.72,-0.68,649.27,-4.68,3792.54,-0.09,4441.81,-0.78,-0.21,0.3,0.23
B2_O_L2_DG_S_0.2_0.8_TS3,682.31,-0.17,3637.35,-3.85,4319.66,-3.29,680.48,-0.19,3638.46,-3.76,4318.9400000000005,-3.21,679.31,-0.27,3641.16,-4.07,4320.469999999999,-3.49,-0.17,0.07,0.04
B2_O_L2_DG_S_0.2_1.0_TS2,651.69,-4.65,3791.68,0.22,4443.37,-0.52,649.79,-4.69,3788.11,0.2,4437.9,-0.54,648.68,-4.77,3797.31,0.04,4445.99,-0.69,-0.17,0.24,0.18
B2_O_L2_DG_S_0.2_1.0_TS3,681.32,-0.31,3644.91,-3.65,4326.23,-3.14,679.53,-0.33,3640.14,-3.71,4319.67,-3.19,678.37,-0.41,3652.74,-3.77,4331.11,-3.26,-0.17,0.35,0.26
B2_O_L2_DG_S_0.6_0.8_TS2,718.26,5.09,3506.29,-7.32,4224.55,-5.42,716.61,5.11,3510.97,-7.13,4227.58,-5.26,715.93,5.11,3517.0,-7.34,4232.93,-5.45,-0.09,0.17,0.13
B2_O_L2_DG_S_0.6_0.8_TS3,750.34,9.79,3380.41,-10.65,4130.75,-7.52,748.45,9.78,3381.14,-10.56,4129.59,-7.45,747.47,9.74,3385.51,-10.81,4132.9800000000005,-7.68,-0.13,0.13,0.08
B2_O_L2_DG_S_0.6_1.0_TS2,715.04,4.62,3537.02,-6.51,4252.06,-4.8,713.38,4.63,3539.71,-6.37,4253.09,-4.69,712.39,4.59,3542.78,-6.67,4255.17,-4.95,-0.14,0.09,0.05
B2_O_L2_DG_S_0.6_1.0_TS3,745.96,9.15,3406.81,-9.95,4152.77,-7.03,744.0,9.13,3406.85,-9.88,4150.85,-6.98,742.82,9.06,3408.97,-10.19,4151.79,-7.26,-0.16,0.06,0.02
B2_O_L2_DG_W_0.2_0.8_TS2,646.31,-5.43,3724.85,-1.54,4371.16,-2.14,644.42,-5.48,3721.0,-1.57,4365.42,-2.17,643.16,-5.58,3729.03,-1.76,4372.1900000000005,-2.34,-0.2,0.22,0.16
