ID_code,DeltaAC%(v8.5-8.7),DeltaAH%(v8.5-8.7),DeltaAT%(v8.5-8.7),Use,Orient,Glass,Storage,Version
B2_O_L2_ST_S_0.6_0.8_TS2,0.24,0.05,0.08,1.0,1.0,1.0,1.0,1.0
B2_O_L2_ST_S_0.6_0.8_TS3,0.23,0.07,0.09,1.0,1.0,1.0,1.0,1.0
B2_O_L2_ST_S_0.6_1.0_TS2,0.25,-0.13,-0.07,1.0,1.0,1.0,1.0,1.0
B2_O_L2_ST_S_0.6_1.0_TS3,0.22,0.04,0.06,1.0,1.0,1.0,1.0,1.0
B2_O_L2_ST_W_0.2_0.8_TS2,0.26,-0.04,0.01,1.0,1.0,1.0,1.0,1.0
B2_O_L2_ST_W_0.2_0.8_TS3,0.29,0.02,0.06,1.0,1.0,1.0,1.0,1.0
B2_O_L2_ST_W_0.2_1.0_TS2,0.26,0.02,0.05,1.0,1.0,0.0,1.0,1.0
B2_O_L2_ST_W_0.2_1.0_TS3,0.24,-0.03,0.01,1.0,1.0,0.0,1.0,1.0
B2_O_L2_ST_W_0.6_0.8_TS2,0.25,-0.01,0.03,1.0,1.0,1.0,1.0,1.0
B2_O_L2_ST_W_0.6_0.8_TS3,0.25,-0.04,0.01,1.0,1.0,1.0,1.0,1.0
B2_O_L2_ST_W_0.6_1.0_TS2,0.24,-0.01,0.03,1.0,1.0,1.0,1.0,1.0
B2_O_L2_ST_W_0.6_1.0_TS3,0.23,0.0,0.04,1.0,1.0,1.0,1.0,1.0
B2_R_L1_Base_S_0.12_5.9_TS1,0.06,0.35,0.13,1.0,1.0,1.0,1.0,1.0
B2_R_L2_Base_S_0.12_5.9_TS1,0.24,-0.03,0.0,1.0,1.0,1.0,1.0,1.0
B2_R_L1_DG_E_0.2_0.8_TS2,-4.59,2.42,-2.89,1.0,1.0,0.0,1.0,1.0
B2_R_L1_DG_E_0.2_0.8_TS3,-4.99,2.99,-3.08,1.0,1.0,0.0,1.0,1.0
B2_R_L1_DG_E_0.2_2.3_TS2,0.07,0.33,0.13,1.0,1.0,1.0,1.0,1.0
B2_R_L1_DG_E_0.2_2.3_TS3,0.05,0.24,0.1,1.0,1.0,1.0,1.0,1.0
B2_R_L1_DG_E_0.6_0.8_TS2,-12.26,6.64,-8.66,1.0,1.0,0.0,1.0,1.0
B2_R_L1_DG_E_0.6_0.8_TS3,-12.69,4.97,-9.34,1.0,1.0,0.0,1.0,1.0
B2_R_L1_DG_E_0.6_2.3_TS2,0.08,-0.16,0.03,1.0,1.0,1.0,1.0,1.0
B2_R_L1_DG_E_0.6_2.3_TS3,0.09,0.95,0.25,1.0,1.0,1.0,1.0,1.0
B2_R_L1_DG_S_0.2_0.8_TS2,-3.35,3.21,-1.69,1.0,1.0,0.0,1.0,1.0
B2_R_L1_DG_S_0.2_0.8_TS3,-3.64,3.54,-1.85,1.0,1.0,0.0,1.0,1.0
B2_R_L1_DG_S_0.2_2.3_TS2,0.06,0.42,0.15,1.0,1.0,1.0,1.0,1.0
B2_R_L1_DG_S_0.2_2.3_TS3,0.07,0.03,0.06,1.0,1.0,1.0,1.0,1.0
B2_R_L1_DG_S_0.6_0.8_TS2,-9.13,5.19,-6.17,1.0,1.0,0.0,1.0,1.0
B2_R_L1_DG_S_0.6_0.8_TS3,-10.49,4.91,-7.35,1.0,1.0,0.0,1.0,1.0
B2_R_L1_DG_S_0.6_2.3_TS2,0.12,0.45,0.19,1.0,1.0,1.0,1.0,1.0
B2_R_L1_DG_S_0.6_2.3_TS3,0.1,-0.24,0.03,1.0,1.0,1.0,1.0,1.0
B2_R_L1_DG_W_0.2_0.8_TS2,-2.24,1.89,-1.26,1.0,1.0,0.0,1.0,1.0
B2_R_L1_DG_W_0.2_0.8_TS3,-2.59,1.8,-1.56,1.0,1.0,0.0,1.0,1.0
B2_R_L1_DG_W_0.2_2.3_TS2,0.07,1.05,0.3,1.0,1.0,1.0,1.0,1.0
B2_R_L1_DG_W_0.2_2.3_TS3,0.06,-0.21,-0.0,1.0,1.0,1.0,1.0,1.0
B2_R_L1_DG_W_0.6_0.8_TS2,-6.12,5.01,-3.87,1.0,1.0,0.0,1.0,1.0
B2_R_L1_DG_W_0.6_0.8_TS3,-6.4,4.41,-4.23,1.0,1.0,0.0,1.0,1.0
B2_R_L1_DG_W_0.6_2.3_TS2,0.07,-0.31,-0.01,1.0,1.0,1.0,1.0,1.0
B2_R_L1_DG_W_0.6_2.3_TS3,0.06,-0.63,-0.08,1.0,1.0,1.0,1.0,1.0
B2_R_L2_DG_E_0.2_0.8_TS2,-7.77,0.9,-0.05,1.0,1.0,0.0,1.0,1.0
B2_R_L2_DG_E_0.2_0.8_TS3,-8.16,0.88,-0.19,1.0,1.0,0.0,1.0,1.0
B2_R_L2_DG_E_0.2_1.0_TS2,-8.49,0.78,-0.24,1.0,1.0,0.0,1.0,1.0
B2_R_L2_DG_E_0.2_1.0_TS3,-8.91,0.77,-0.38,1.0,1.0,0.0,1.0,1.0
B2_R_L2_DG_E_0.6_0.8_TS2,-19.92,2.46,-1.0,1.0,1.0,0.0,1.0,1.0
B2_R_L2_DG_E_0.6_0.8_TS3,-20.12,2.47,-1.32,1.0,1.0,0.0,1.0,1.0
B2_R_L2_DG_E_0.6_1.0_TS2,-21.66,2.04,-1.62,1.0,1.0,0.0,1.0,1.0
B2_R_L2_DG_E_0.6_1.0_TS3,-21.79,2.15,-1.87,1.0,1.0,0.0,1.0,1.0
B2_R_L2_DG_S_0.2_0.8_TS2,-6.83,1.5,0.53,1.0,1.0,0.0,1.0,1.0
B2_R_L2_DG_S_0.2_0.8_TS3,-7.4,1.52,0.4,1.0,1.0,0.0,1.0,1.0
B2_R_L2_DG_S_0.2_1.0_TS2,-7.24,1.39,0.39,1.0,1.0,0.0,1.0,1.0
B2_R_L2_DG_S_0.2_1.0_TS3,-7.98,1.42,0.23,1.0,1.0,0.0,1.0,1.0
B2_R_L2_DG_S_0.6_0.8_TS2,-16.5,4.06,0.66,1.0,1.0,0.0,1.0,1.0
B2_R_L2_DG_S_0.6_0.8_TS3,-16.81,3.95,0.24,1.0,1.0,0.0,1.0,1.0
B2_R_L2_DG_S_0.6_1.0_TS2,-16.57,3.79,0.48,1.0,1.0,0.0,1.0,1.0
B2_R_L2_DG_S_0.6_1.0_TS3,-17.46,3.76,0.01,1.0,1.0,0.0,1.0,1.0
B2_R_L2_DG_W_0.2_0.8_TS2,-5.37,0.86,0.17,1.0,1.0,0.0,1.0,1.0
B2_R_L2_DG_W_0.2_0.8_TS3,-5.78,0.85,0.06,1.0,1.0,0.0,1.0,1.0
B2_R_L2_DG_W_0.2_1.0_TS2,-5.77,0.67,-0.04,1.0,1.0,0.0,1.0,1.0
B2_R_L2_DG_W_0.2_1.0_TS3,-9.57,1.14,-0.14,1.0,0.0,0.0,1.0,1.0
B2_R_L2_DG_W_0.6_0.8_TS2,-11.18,2.38,0.47,1.0,1.0,0.0,1.0,1.0
B2_R_L2_DG_W_0.6_0.8_TS3,-11.49,2.39,0.28,1.0,1.0,0.0,1.0,1.0
B2_R_L2_DG_W_0.6_1.0_TS2,-11.4,1.97,0.12,1.0,1.0,0.0,1.0,1.0
B2_R_L2_DG_W_0.6_1.0_TS3,-11.73,2.02,-0.04,1.0,1.0,0.0,1.0,1.0
